date,month,customers,revenue,orders
2026-01-01,Jan,5,7150,5
2026-01-02,Jan,2,1400,2
2026-01-03,Jan,8,10650,9
2026-01-04,Jan,6,10350,7
2026-01-05,Jan,3,2250,3
2026-01-06,Jan,4,5650,4
2026-01-07,Jan,5,5200,5
2026-01-08,Jan,2,2650,2
2026-01-09,Jan,4,7100,5
2026-01-10,Jan,5,9300,5
2026-01-11,Jan,7,13050,9
2026-01-12,Jan,2,2350,2
2026-01-13,Jan,3,6500,4
2026-01-14,Jan,3,2550,3
2026-01-15,Jan,3,5800,3
2026-01-16,Jan,5,4650,5
2026-01-17,Jan,6,9050,6
2026-01-18,Jan,7,9800,8
2026-01-19,Jan,4,3950,4
2026-01-20,Jan,2,1800,2
2026-01-21,Jan,1,2050,1
2026-01-22,Jan,2,1550,2
2026-01-23,Jan,3,4950,3
2026-01-24,Jan,5,8450,5
2026-01-25,Jan,6,11200,7
2026-01-26,Jan,2,4000,3
2026-01-27,Jan,1,1550,1
2026-01-28,Jan,3,1500,3
2026-01-29,Jan,1,700,1
2026-01-30,Jan,3,2050,3
2026-01-31,Jan,5,6250,5
2026-02-01,Feb,7,12750,9
2026-02-02,Feb,3,4950,3
2026-02-03,Feb,3,2600,3
2026-02-04,Feb,3,2200,3
2026-02-05,Feb,2,1500,2
2026-02-06,Feb,3,3500,4
2026-02-07,Feb,6,14900,9
2026-02-08,Feb,6,14750,8
2026-02-09,Feb,3,3100,3
2026-02-10,Feb,1,350,1
2026-02-11,Feb,4,4650,4
2026-02-12,Feb,5,5550,5
2026-02-13,Feb,1,650,1
2026-02-14,Feb,6,12350,6
2026-02-15,Feb,5,9950,6
2026-02-16,Feb,2,2700,2
2026-02-17,Feb,5,6350,5
2026-02-18,Feb,4,5000,5
2026-02-19,Feb,2,1550,2
2026-02-20,Feb,3,3250,3
2026-02-21,Feb,4,8550,6
2026-02-22,Feb,4,7000,4
2026-02-23,Feb,3,4550,5
2026-02-24,Feb,3,4900,4
2026-02-25,Feb,2,1650,2
2026-02-26,Feb,2,1550,2
2026-02-27,Feb,3,2500,3
2026-02-28,Feb,5,6500,6
2026-03-01,Mar,7,17450,9
2026-03-02,Mar,3,2150,3
2026-03-03,Mar,3,3600,3
2026-03-04,Mar,5,4550,5
2026-03-05,Mar,2,3550,2
2026-03-06,Mar,3,4100,5
2026-03-07,Mar,7,15400,9
2026-03-08,Mar,5,8150,6
2026-03-09,Mar,2,1600,3
2026-03-10,Mar,3,3850,3
2026-03-11,Mar,2,3400,2
2026-03-12,Mar,4,6000,5
2026-03-13,Mar,5,5700,5
2026-03-14,Mar,7,11000,8
2026-03-15,Mar,4,5050,4
2026-03-16,Mar,2,4450,2
2026-03-17,Mar,4,6150,5
2026-03-18,Mar,4,5300,4
2026-03-19,Mar,3,5150,4
2026-03-20,Mar,4,4100,4
2026-03-21,Mar,3,4900,3
2026-03-22,Mar,5,13800,7
2026-03-23,Mar,1,850,1
2026-03-24,Mar,3,3250,3
2026-03-25,Mar,3,3450,3
2026-03-26,Mar,2,4750,3
2026-03-27,Mar,1,950,1
2026-03-28,Mar,5,4100,6
2026-03-29,Mar,6,12500,8
2026-03-30,Mar,1,500,1
2026-03-31,Mar,2,1900,3
