order_id,customer_id,order_date,month,order_value,order_status,order_channel,source
ORD001,CUST007,2026-01-01,Jan,800,Completed,Dine-in,Instagram
ORD002,CUST003,2026-01-01,Jan,2750,Completed,Dine-in,Swiggy
ORD003,CUST010,2026-01-01,Jan,1100,Completed,Dine-in,Instagram
ORD004,CUST014,2026-01-01,Jan,2000,Completed,Dine-in,Instagram
ORD005,CUST008,2026-01-01,Jan,500,Completed,Dine-in,Zomato
ORD006,CUST008,2026-01-02,Jan,600,Completed,Dine-in,Instagram
ORD007,CUST007,2026-01-02,Jan,800,Completed,Takeaway,Walk-in
ORD008,CUST015,2026-01-03,Jan,1150,Completed,Dine-in,Zomato
ORD009,CUST004,2026-01-03,Jan,700,Completed,Dine-in,Walk-in
ORD010,CUST001,2026-01-03,Jan,900,Completed,Dine-in,Swiggy
ORD011,CUST015,2026-01-03,Jan,1500,Completed,Takeaway,Walk-in
ORD012,CUST006,2026-01-03,Jan,600,Completed,Dine-in,Walk-in
ORD013,CUST008,2026-01-03,Jan,800,Completed,Dine-in,Walk-in
ORD014,CUST012,2026-01-03,Jan,1650,Completed,Takeaway,Walk-in
ORD015,CUST002,2026-01-03,Jan,900,Completed,Takeaway,Walk-in
ORD016,CUST003,2026-01-03,Jan,2450,Completed,Dine-in,Referral
ORD017,CUST002,2026-01-04,Jan,1250,Completed,Dine-in,Instagram
ORD018,CUST010,2026-01-04,Jan,900,Completed,Takeaway,Zomato
ORD019,CUST007,2026-01-04,Jan,1550,Completed,Dine-in,Walk-in
ORD020,CUST015,2026-01-04,Jan,1450,Completed,Dine-in,Referral
ORD021,CUST005,2026-01-04,Jan,3350,Completed,Dine-in,Walk-in
ORD022,CUST004,2026-01-04,Jan,750,Completed,Takeaway,Walk-in
ORD023,CUST007,2026-01-04,Jan,1100,Completed,Takeaway,Zomato
ORD024,CUST015,2026-01-05,Jan,850,Completed,Takeaway,Instagram
ORD025,CUST011,2026-01-05,Jan,450,Completed,Dine-in,Referral
ORD026,CUST007,2026-01-05,Jan,950,Completed,Dine-in,Zomato
ORD027,CUST012,2026-01-06,Jan,900,Completed,Dine-in,Instagram
ORD028,CUST013,2026-01-06,Jan,550,Completed,Takeaway,Instagram
ORD029,CUST014,2026-01-06,Jan,1900,Completed,Dine-in,Walk-in
ORD030,CUST009,2026-01-06,Jan,2300,Completed,Dine-in,Instagram
ORD031,CUST015,2026-01-07,Jan,800,Completed,Takeaway,Swiggy
ORD032,CUST009,2026-01-07,Jan,2300,Completed,Dine-in,Instagram
ORD033,CUST012,2026-01-07,Jan,600,Completed,Dine-in,Instagram
ORD034,CUST010,2026-01-07,Jan,650,Completed,Dine-in,Swiggy
ORD035,CUST006,2026-01-07,Jan,850,Completed,Dine-in,Instagram
ORD036,CUST014,2026-01-08,Jan,2000,Completed,Dine-in,Walk-in
ORD037,CUST008,2026-01-08,Jan,650,Completed,Takeaway,Walk-in
ORD038,CUST007,2026-01-09,Jan,1200,Completed,Dine-in,Walk-in
ORD039,CUST005,2026-01-09,Jan,1600,Completed,Dine-in,Swiggy
ORD040,CUST014,2026-01-09,Jan,2200,Completed,Dine-in,Referral
ORD041,CUST002,2026-01-09,Jan,1150,Completed,Dine-in,Referral
ORD042,CUST002,2026-01-09,Jan,950,Completed,Dine-in,Walk-in
ORD043,CUST010,2026-01-10,Jan,1850,Completed,Takeaway,Zomato
ORD044,CUST005,2026-01-10,Jan,2000,Completed,Dine-in,Swiggy
ORD045,CUST001,2026-01-10,Jan,1350,Completed,Dine-in,Instagram
ORD046,CUST014,2026-01-10,Jan,2650,Completed,Dine-in,Instagram
ORD047,CUST002,2026-01-10,Jan,1450,Completed,Dine-in,Zomato
ORD048,CUST015,2026-01-11,Jan,1200,Completed,Dine-in,Zomato
ORD049,CUST012,2026-01-11,Jan,1650,Completed,Dine-in,Walk-in
ORD050,CUST009,2026-01-11,Jan,1750,Completed,Dine-in,Swiggy
ORD051,CUST006,2026-01-11,Jan,750,Completed,Dine-in,Walk-in
ORD052,CUST013,2026-01-11,Jan,550,Completed,Dine-in,Swiggy
ORD053,CUST005,2026-01-11,Jan,2300,Completed,Dine-in,Walk-in
ORD054,CUST007,2026-01-11,Jan,1950,Completed,Takeaway,Instagram
ORD055,CUST012,2026-01-11,Jan,1850,Completed,Dine-in,Walk-in
ORD056,CUST013,2026-01-11,Jan,1050,Completed,Takeaway,Walk-in
ORD057,CUST005,2026-01-12,Jan,1500,Completed,Dine-in,Walk-in
ORD058,CUST013,2026-01-12,Jan,850,Completed,Takeaway,Walk-in
ORD059,CUST013,2026-01-13,Jan,350,Cancelled,Dine-in,Walk-in
ORD060,CUST014,2026-01-13,Jan,1900,Completed,Takeaway,Walk-in
ORD061,CUST014,2026-01-13,Jan,1750,Completed,Dine-in,Walk-in
ORD062,CUST013,2026-01-13,Jan,600,Completed,Dine-in,Swiggy
ORD063,CUST003,2026-01-13,Jan,2250,Completed,Dine-in,Walk-in
ORD064,CUST011,2026-01-14,Jan,550,Completed,Takeaway,Walk-in
ORD065,CUST001,2026-01-14,Jan,1200,Completed,Dine-in,Instagram
ORD066,CUST015,2026-01-14,Jan,800,Completed,Dine-in,Walk-in
ORD067,CUST010,2026-01-15,Jan,1400,Completed,Dine-in,Walk-in
ORD068,CUST009,2026-01-15,Jan,2000,Completed,Dine-in,Referral
ORD069,CUST003,2026-01-15,Jan,2400,Completed,Dine-in,Swiggy
ORD070,CUST015,2026-01-16,Jan,1250,Completed,Dine-in,Walk-in
ORD071,CUST012,2026-01-16,Jan,1200,Completed,Takeaway,Walk-in
ORD072,CUST010,2026-01-16,Jan,800,Completed,Dine-in,Walk-in
ORD073,CUST008,2026-01-16,Jan,550,Completed,Dine-in,Instagram
ORD074,CUST011,2026-01-16,Jan,850,Completed,Dine-in,Walk-in
